Station,Date,Time,Precip,Temp_max,Temp_min
BAKRSFLD.C,19510511,2359,0,76,55
BAKRSFLD.C,19510512,2359,0,72,46
BAKRSFLD.C,19510513,2359,0.05,72,47
BAKRSFLD.C,19510514,2359,0.01,74,48
BAKRSFLD.C,19510515,2359,0,85,55
BAKRSFLD.C,19510516,2359,0,90,59
BAKRSFLD.C,19510517,2359,0,94,61
BAKRSFLD.C,19510518,2359,0,96,65
BAKRSFLD.C,19510519,2359,0,95,65
BAKRSFLD.C,19510520,2359,0,95,62
BAKRSFLD.C,19510521,2359,0,90,58
BAKRSFLD.C,19510522,2359,0,91,62
BAKRSFLD.C,19510523,2359,0,89,60
BAKRSFLD.C,19510524,2359,0,90,59
BAKRSFLD.C,19510525,2359,0,99,64
BAKRSFLD.C,19510526,2359,0,107,71
BAKRSFLD.C,19510527,2359,0,103,70
BAKRSFLD.C,19510528,2359,0,95,62
BAKRSFLD.C,19510529,2359,0,95,64
BAKRSFLD.C,19510530,2359,0,91,61
BAKRSFLD.C,19510531,2359,0,86,55
BAKRSFLD.C,19510601,2359,0,87,57
BAKRSFLD.C,19510602,2359,0,92,60
BAKRSFLD.C,19510603,2359,0,94,61
BAKRSFLD.C,19510604,2359,0,93,62
BAKRSFLD.C,19510605,2359,0,82,56
BAKRSFLD.C,19510606,2359,0,81,54
BAKRSFLD.C,19510607,2359,0,83,52
BAKRSFLD.C,19510608,2359,0,86,54
BAKRSFLD.C,19510609,2359,0,90,57
BAKRSFLD.C,19510610,2359,0,96,63
BAKRSFLD.C,19510611,2359,0,97,63
BAKRSFLD.C,19510612,2359,0,95,63
BAKRSFLD.C,19510613,2359,0,99,63
BAKRSFLD.C,19510614,2359,0,101,69
BAKRSFLD.C,19510615,2359,0,100,71
BAKRSFLD.C,19510616,2359,0,103,71
BAKRSFLD.C,19510617,2359,0,101,72
BAKRSFLD.C,19510618,2359,0,96,70
BAKRSFLD.C,19510619,2359,0,93,70
BAKRSFLD.C,19510620,2359,0,90,63
BAKRSFLD.C,19510621,2359,0,87,62
BAKRSFLD.C,19510622,2359,0,90,64
BAKRSFLD.C,19510623,2359,0,94,63
BAKRSFLD.C,19510624,2359,0,98,67
BAKRSFLD.C,19510625,2359,0,92,66
BAKRSFLD.C,19510626,2359,0,92,61
BAKRSFLD.C,19510627,2359,0,97,65
BAKRSFLD.C,19510628,2359,0,100,64
BAKRSFLD.C,19510629,2359,0,99,65
BAKRSFLD.C,19510630,2359,0,100,66
BAKRSFLD.C,19510701,2359,0,100,65
BAKRSFLD.C,19510702,2359,0,96,65
BAKRSFLD.C,19510703,2359,0,92,62
BAKRSFLD.C,19510704,2359,0,90,58
BAKRSFLD.C,19510705,2359,0,89,61
BAKRSFLD.C,19510706,2359,0,93,60
BAKRSFLD.C,19510707,2359,0,97,64
BAKRSFLD.C,19510708,2359,0,102,65
BAKRSFLD.C,19510709,2359,0,103,67
BAKRSFLD.C,19510710,2359,0,97,68
BAKRSFLD.C,19510711,2359,0,93,64
BAKRSFLD.C,19510712,2359,0,93,65
BAKRSFLD.C,19510713,2359,0,97,65
BAKRSFLD.C,19510714,2359,0,96,64
BAKRSFLD.C,19510715,2359,0,96,67
BAKRSFLD.C,19510716,2359,0,97,69
BAKRSFLD.C,19510717,2359,0,102,71
BAKRSFLD.C,19510718,2359,0,107,76
BAKRSFLD.C,19510719,2359,0,102,78
BAKRSFLD.C,19510720,2359,0,105,76
BAKRSFLD.C,19510721,2359,0,99,70
BAKRSFLD.C,19510722,2359,0,100,65
BAKRSFLD.C,19510723,2359,0,100,67
BAKRSFLD.C,19510724,2359,0,97,68
BAKRSFLD.C,19510725,2359,0,97,65
BAKRSFLD.C,19510726,2359,0,99,66
BAKRSFLD.C,19510727,2359,0,99,69
BAKRSFLD.C,19510728,2359,0,99,70
BAKRSFLD.C,19510729,2359,0,100,69
BAKRSFLD.C,19510730,2359,0,99,70
BAKRSFLD.C,19510731,2359,0,105,72
BAKRSFLD.C,19510801,2359,0,104,69
BAKRSFLD.C,19510802,2359,0,97,68
BAKRSFLD.C,19510803,2359,0,97,63
BAKRSFLD.C,19510804,2359,0,99,60
BAKRSFLD.C,19510805,2359,0,97,63
BAKRSFLD.C,19510806,2359,0,98,60
BAKRSFLD.C,19510807,2359,0,95,63
BAKRSFLD.C,19510808,2359,0,94,62
BAKRSFLD.C,19510809,2359,0,100,64
BAKRSFLD.C,19510810,2359,0,99,64
BAKRSFLD.C,19510811,2359,0,99,63
BAKRSFLD.C,19510812,2359,0,99,64
BAKRSFLD.C,19510813,2359,0,101,66
BAKRSFLD.C,19510814,2359,0,104,68
BAKRSFLD.C,19510815,2359,0,105,70
BAKRSFLD.C,19510816,2359,0,104,71
BAKRSFLD.C,19510817,2359,0,104,72
BAKRSFLD.C,19510818,2359,0,106,71
BAKRSFLD.C,19510819,2359,0,103,69
BAKRSFLD.C,19510820,2359,0,98,68
BAKRSFLD.C,19510821,2359,0,98,68
BAKRSFLD.C,19510822,2359,0,95,64
BAKRSFLD.C,19510823,2359,0,95,64
BAKRSFLD.C,19510824,2359,0,93,64
BAKRSFLD.C,19510825,2359,0,95,66
BAKRSFLD.C,19510826,2359,0,95,67
BAKRSFLD.C,19510827,2359,0,96,68
BAKRSFLD.C,19510828,2359,0,93,63
BAKRSFLD.C,19510829,2359,0,86,56
BAKRSFLD.C,19510830,2359,0,81,58
BAKRSFLD.C,19510831,2359,0,85,57
BAKRSFLD.C,19510901,2359,0,87,58
BAKRSFLD.C,19510902,2359,0,90,60
BAKRSFLD.C,19510903,2359,0,90,59
BAKRSFLD.C,19510904,2359,0,94,60
BAKRSFLD.C,19510905,2359,0,89,57
BAKRSFLD.C,19510906,2359,0,87,56
BAKRSFLD.C,19510907,2359,0,90,60
BAKRSFLD.C,19510908,2359,0,95,62
BAKRSFLD.C,19510909,2359,0,100,67
BAKRSFLD.C,19510910,2359,0,104,69
BAKRSFLD.C,19510911,2359,0,100,67
BAKRSFLD.C,19510912,2359,0,99,67
BAKRSFLD.C,19510913,2359,0,97,63
BAKRSFLD.C,19510914,2359,0,94,63
BAKRSFLD.C,19510915,2359,0,100,67
BAKRSFLD.C,19510916,2359,0,107,71
BAKRSFLD.C,19510917,2359,0,96,70
BAKRSFLD.C,19510918,2359,0,96,70
BAKRSFLD.C,19510919,2359,0,95,67
BAKRSFLD.C,19510920,2359,0,94,65
BAKRSFLD.C,19510921,2359,0,93,65
BAKRSFLD.C,19510922,2359,0,95,65
BAKRSFLD.C,19510923,2359,0,97,61
BAKRSFLD.C,19510924,2359,0,91,60
BAKRSFLD.C,19510925,2359,0,90,61
BAKRSFLD.C,19510926,2359,0,93,60
BAKRSFLD.C,19510927,2359,0,88,58
BAKRSFLD.C,19510928,2359,0,79,56
BAKRSFLD.C,19510929,2359,0,82,53
BAKRSFLD.C,19510930,2359,0,89,55
BAKRSFLD.C,19511001,2359,0,87,58
BAKRSFLD.C,19511002,2359,0,81,59
BAKRSFLD.C,19511003,2359,0,77,52
BAKRSFLD.C,19511004,2359,0,79,53
BAKRSFLD.C,19511005,2359,0,82,53
BAKRSFLD.C,19511006,2359,0,88,48
BAKRSFLD.C,19511007,2359,0,91,49
BAKRSFLD.C,19511008,2359,0,97,54
BAKRSFLD.C,19511009,2359,0,95,57
BAKRSFLD.C,19511010,2359,0,82,59
BAKRSFLD.C,19511011,2359,0,78,52
BAKRSFLD.C,19511012,2359,0,75,50
BAKRSFLD.C,19511013,2359,0,83,50
BAKRSFLD.C,19511014,2359,0,86,50
BAKRSFLD.C,19511015,2359,0,85,51
BAKRSFLD.C,19511016,2359,0,80,52
BAKRSFLD.C,19511017,2359,0,77,48
BAKRSFLD.C,19511018,2359,0,81,48
BAKRSFLD.C,19511019,2359,0,80,49
BAKRSFLD.C,19511020,2359,0,79,50
BAKRSFLD.C,19511021,2359,0,71,45
BAKRSFLD.C,19511022,2359,0,73,44
BAKRSFLD.C,19511023,2359,0,82,46
BAKRSFLD.C,19511024,2359,0.17,75,46
BAKRSFLD.C,19511025,2359,0,67,46
BAKRSFLD.C,19511026,2359,0,70,43
BAKRSFLD.C,19511027,2359,0,74,44
BAKRSFLD.C,19511028,2359,0,80,44
BAKRSFLD.C,19511029,2359,0,83,48
BAKRSFLD.C,19511030,2359,0,79,48
BAKRSFLD.C,19511031,2359,0,74,47
BAKRSFLD.C,19511101,2359,0,71,47
BAKRSFLD.C,19511102,2359,0,84,47
BAKRSFLD.C,19511103,2359,0,78,46
BAKRSFLD.C,19511104,2359,0,79,46
BAKRSFLD.C,19511105,2359,0,85,50
BAKRSFLD.C,19511106,2359,0,83,46
BAKRSFLD.C,19511107,2359,0,80,45
BAKRSFLD.C,19511108,2359,0,76,45
BAKRSFLD.C,19511109,2359,0,73,47
BAKRSFLD.C,19511110,2359,0,73,42
BAKRSFLD.C,19511111,2359,0,57,47
BAKRSFLD.C,19511112,2359,0,71,46
BAKRSFLD.C,19511113,2359,0,65,42
BAKRSFLD.C,19511114,2359,0,60,48
